Year,Territorio,Units,Value
2019,Sopela,Por 10.000,21.2
2021,Gizaburuaga,Por 10.000,0.0
2020,Orexa,Por 10.000,0.0
2020,Zumarraga,Por 10.000,12.3
2020,Ea,Por 10.000,50.5
2019,Hernialde,Por 10.000,0.0
2019,Ugao-Miraballes,Por 10.000,39.5
2021,Albiztur,Por 10.000,0.0
2021,Iurreta,Por 10.000,21.3
2019,Aretxabaleta,Por 10.000,5.7
2021,Beasain,Por 10.000,35.1
2021,Berriz,Por 10.000,8.8
2020,Elgoibar,Por 10.000,34.4
2019,Galdames,Por 10.000,24.7
2021,Arabako Kantaurialdea / Cantábrica Alavesa,Por 10.000,24.5
2020,Lemoiz,Por 10.000,0.0
2021,Legazpi,Por 10.000,21.8
2021,Orozko,Por 10.000,36.1
2021,Laudio/Llodio,Por 10.000,32.3
2020,Zalla,Por 10.000,35.0
2019,Urola Kosta,Por 10.000,14.1
2021,Villabona,Por 10.000,20.6
2020,Okondo,Por 10.000,0.0
2019,Baliarrain,Por 10.000,0.0
2020,Kuartango,Por 10.000,0.0
2020,Amoroto,Por 10.000,0.0
2019,Barakaldo,Por 10.000,41.8
2020,Zizurkil,Por 10.000,20.2
2021,Artea,Por 10.000,0.0
2019,Urkabustaiz,Por 10.000,29.4
2020,Elorrio,Por 10.000,13.2
2019,Gaintza,Por 10.000,0.0
2019,Gautegiz Arteaga,Por 10.000,0.0
2019,Lagrán,Por 10.000,0.0
2021,Lanestosa,Por 10.000,0.0
2021,Itsasondo,Por 10.000,0.0
2020,Markina-Xemein,Por 10.000,20.3
2020,Iruña Oka/Iruña de Oca,Por 10.000,41.1
2019,Plentzia-Mungia,Por 10.000,20.6
2020,Mutriku,Por 10.000,22.7
2020,Valle de Trápaga-Trapagaran,Por 10.000,31.0
2020,Zigoitia,Por 10.000,12.3
2021,Atxondo,Por 10.000,14.6
2019,Soraluze-Placencia de las Armas,Por 10.000,30.5
2019,Sondika,Por 10.000,21.2
2019,Andoain,Por 10.000,30.7
2020,Ziortza-Bolibar,Por 10.000,0.0
2021,Antzuola,Por 10.000,18.6
2019,Urretxu,Por 10.000,17.6
2021,Arabako Lautada / Llanada Alavesa,Por 10.000,36.0
2021,Lasarte-Oria,Por 10.000,23.3
2020,Aia,Por 10.000,31.6
2020,Gaztelu,Por 10.000,0.0
2020,,Por 10.000,33.7
2019,Abadiño,Por 10.000,28.4
2020,Beizama,Por 10.000,0.0
2021,Munitibar-Arbatzegi Gerrikaitz,Por 10.000,0.0
2021,Arrigorriaga,Por 10.000,36.1
2019,Zegama,Por 10.000,0.0
2020,Berango,Por 10.000,21.2
2021,Samaniego,Por 10.000,0.0
2020,Bilbao,Por 10.000,35.6
2019,Debagoiena / Alto Deba,Por 10.000,23.5
2019,Zeberio,Por 10.000,37.2
2020,Iruraiz-Gauna,Por 10.000,0.0
2019,Durangaldea / Duranguesado,Por 10.000,24.1
2021,Ezkio-Itsaso,Por 10.000,0.0
2021,Fruiz,Por 10.000,0.0
2019,Villabuena de Álava/Eskuernaga,Por 10.000,69.0
2021,Enkartazioak / Encartaciones,Por 10.000,35.0
2021,Donostialdea,Por 10.000,34.8
2020,Getxo,Por 10.000,21.0
2020,Berantevilla,Por 10.000,126.1
2019,Ispaster,Por 10.000,28.7
2020,Ikaztegieta,Por 10.000,0.0
2019,Laukiz,Por 10.000,0.0
2019,Zalduondo,Por 10.000,0.0
2021,Mañaria,Por 10.000,79.4
2019,Lazkao,Por 10.000,14.3
2021,Mendexa,Por 10.000,0.0
2019,Lanciego/Lantziego,Por 10.000,29.2
2020,Mundaka,Por 10.000,30.8
2019,Lezo,Por 10.000,42.7
2020,Otxandio,Por 10.000,30.0
2019,Abaltzisketa,Por 10.000,0.0
2019,Plentzia,Por 10.000,35.6
2021,Oñati,Por 10.000,5.2
2021,Ortuella,Por 10.000,67.2
2019,Asparrena,Por 10.000,25.0
2020,Ubide,Por 10.000,0.0
2021,Oiartzun,Por 10.000,32.3
2019,Areatza,Por 10.000,63.9
2021,Altzo,Por 10.000,0.0
2021,Erandio,Por 10.000,55.4
2020,Leintz-Gatzaga,Por 10.000,0.0
2020,Kortezubi,Por 10.000,0.0
2022,Arabako Errioxa / Rioja Alavesa,Por 10.000,23.0
2019,Alonsotegi,Por 10.000,53.9
2020,Urnieta,Por 10.000,54.9
2019,Usurbil,Por 10.000,67.5
2021,Navaridas,Por 10.000,0.0
2020,Ordizia,Por 10.000,39.3
2020,Arama,Por 10.000,0.0
2021,Zarautz,Por 10.000,18.4
2019,Añana (comarca),Por 10.000,28.8
2019,Zumaia,Por 10.000,22.2
2021,Ataun,Por 10.000,12.2
2020,Astigarraga,Por 10.000,38.3
2019,Oyón-Oion,Por 10.000,11.6
2021,Altzaga,Por 10.000,0.0
2019,Azkoitia,Por 10.000,6.8
2020,Azpeitia,Por 10.000,18.5
2021,Ziortza-Bolibar,Por 10.000,0.0
2019,Beasain,Por 10.000,20.4
2021,Debabarrena / Bajo Deba,Por 10.000,38.2
2021,Amorebieta-Etxano,Por 10.000,25.6
2021,Ribera Baja/Erriberabeitia,Por 10.000,13.5
2019,Arakaldo,Por 10.000,0.0
2021,Belauntza,Por 10.000,0.0
2020,Artzentales,Por 10.000,0.0
2022,Arratia Nerbioi / Arratia-Nervión,Por 10.000,36.7
2020,Bidania-Goiatz,Por 10.000,38.0
2020,Bakio,Por 10.000,59.4
2020,Gorbeialdea / Estribaciones del Gorbea,Por 10.000,23.5
2021,Basauri,Por 10.000,28.6
2021,Zestoa,Por 10.000,22.3
2019,Bermeo,Por 10.000,43.1
2019,Elvillar/Bilar,Por 10.000,54.6
2021,Bilbo Handia / Gran Bilbao,Por 10.000,37.4
2019,Deba,Por 10.000,7.4
2019,Busturia,Por 10.000,48.9
2020,San Millán/Donemiliaga,Por 10.000,61.7
2020,Zeanuri,Por 10.000,32.8
2021,Elduain,Por 10.000,82.6
2021,Durango,Por 10.000,27.9
2019,Barrundia,Por 10.000,23.9
2019,Etxebarri,Por 10.000,24.5
2019,Elgeta,Por 10.000,55.8
2021,Elantxobe,Por 10.000,0.0
2021,Harana/Valle de Arana,Por 10.000,0.0
2019,Ereño,Por 10.000,0.0
2020,Hondarribia,Por 10.000,25.7
2020,Galdakao,Por 10.000,30.2
2021,Arabako Mendialdea / Montaña Alavesa,Por 10.000,13.9
2021,Garai,Por 10.000,0.0
2021,Getaria,Por 10.000,14.1
2020,Gatika,Por 10.000,48.2
2021,Legutio,Por 10.000,74.0
2021,Gorliz,Por 10.000,48.5
2020,Hernani,Por 10.000,25.0
2019,Güeñes,Por 10.000,26.6
