Year,Value,Units,Series,GeoCode
2021,18.2,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2015,20.7,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2019,17.8,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2014,21.1,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2011,22.9,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2018,18.5,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2022,16.9,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2020,18.0,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2012,21.7,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2010,23.5,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2013,21.7,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2016,19.1,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2017,19.0,KG_OE_PER_GDP_TEUR,EU_ELEC_GDP,
2018,6973.9,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2021,6549.3,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2011,7568.0,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2010,7783.8,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2012,7049.6,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2022,6378.3,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2019,6812.5,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2017,6940.4,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2013,6932.0,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2016,6809.1,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2014,7069.4,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2020,6235.8,KW_PER_CAPITA_DAY,EU_ELEC_PC,
2015,7191.6,KW_PER_CAPITA_DAY,EU_ELEC_PC,
