Year,Value,Units,Series
2014,99.4,PT,IT_MOB_3GNTWK
2013,99.5,PT,IT_MOB_3GNTWK
2017,100.0,PT,IT_MOB_3GNTWK
2016,99.9,PT,IT_MOB_3GNTWK
2019,100.0,PT,IT_MOB_3GNTWK
2018,100.0,PT,IT_MOB_3GNTWK
2012,96.6,PT,IT_MOB_3GNTWK
2015,99.9,PT,IT_MOB_3GNTWK
2020,100.0,PT,IT_MOB_3GNTWK
2014,93.5,PT,IT_MOB_4GNTWK
2012,55.1,PT,IT_MOB_4GNTWK
2020,100.0,PT,IT_MOB_4GNTWK
2017,100.0,PT,IT_MOB_4GNTWK
2018,100.0,PT,IT_MOB_4GNTWK
2015,99.0,PT,IT_MOB_4GNTWK
2019,100.0,PT,IT_MOB_4GNTWK
2013,79.6,PT,IT_MOB_4GNTWK
2016,99.9,PT,IT_MOB_4GNTWK
