Year,Sexua,Units,Value
2018,,Porcentaje,12.8
2014,,Porcentaje,13.0
2013,,Porcentaje,14.5
2023,,Porcentaje,14.0
2011,,Porcentaje,15.3
2017,,Porcentaje,13.8
2019,,Porcentaje,13.5
2011,Emakumea,Porcentaje,15.3
2013,Emakumea,Porcentaje,13.8
2014,Emakumea,Porcentaje,11.9
2017,Emakumea,Porcentaje,13.5
2019,Emakumea,Porcentaje,13.5
2018,Emakumea,Porcentaje,11.7
2023,Emakumea,Porcentaje,13.5
2023,Gizona,Porcentaje,14.6
2017,Gizona,Porcentaje,14.2
2013,Gizona,Porcentaje,15.2
2011,Gizona,Porcentaje,15.2
2018,Gizona,Porcentaje,14.0
2019,Gizona,Porcentaje,13.5
2014,Gizona,Porcentaje,14.2
