Year,Series,Lurralde historikoa,Units,Value
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,,ORGANISATIONS,93
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,,ORGANISATIONS,99
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,,ORGANISATIONS,85
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES211,ORGANISATIONS,9
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES211,ORGANISATIONS,8
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES211,ORGANISATIONS,9
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES213,ORGANISATIONS,47
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES213,ORGANISATIONS,53
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES213,ORGANISATIONS,48
2021,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES212,ORGANISATIONS,30
2022,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES212,ORGANISATIONS,36
2023,Ingurumena kudeatzeko eta ikuskatzeko sistema komunitarioa (EMAS) duten erakundeen kopurua,ES212,ORGANISATIONS,37
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,57
2017,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,43
2023,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,61
2020,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,55
2013,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,18
2010,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,13
2018,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,52
2016,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,40
2015,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,19
2012,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,16
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,58
2019,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,51
2011,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,15
2014,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),,LICENCES,19
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),ES211,LICENCES,14
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),ES211,LICENCES,14
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),ES213,LICENCES,26
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),ES213,LICENCES,25
2022,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),ES212,LICENCES,19
2021,Ecolabel lizentzien kopurua (Europako Etiketa Ekologikoa),ES212,LICENCES,17
