Year,Series,Institucion,Territorio,Units,Value
2018,SG_DMK_PSRVC,,ES213,RO,1.12
2016,SG_DMK_PARLMP_LC,,,RO,1.07
2019,SG_DMK_PSRVC,,ES213,RO,1.19
2020,SG_DMK_PSRVC,,ES212,RO,1.24
2012,SG_DMK_PSRVC,,ES213,RO,1.11
2016,SG_DMK_PSRVC,,ES213,RO,1.14
2023,SG_DMK_PSRVC,,ES212,RO,1.31
2012,SG_DMK_PSRVC,,ES212,RO,1.17
2017,SG_DMK_PSRVC,,ES212,RO,1.21
2020,SG_DMK_PSRVC,,ES211,RO,1.24
2013,SG_DMK_PSRVC,,,RO,1.15
2013,SG_DMK_PSRVC,,ES212,RO,1.18
2017,SG_DMK_PSRVC,,,RO,1.19
2011,SG_DMK_PSRVC,,ES212,RO,1.14
2014,SG_DMK_PARLMP_LC,,,RO,0.99
2019,SG_DMK_PSRVC,,ES212,RO,1.23
2013,SG_DMK_PSRVC,,ES213,RO,1.12
2015,SG_DMK_PSRVC,,ES213,RO,1.14
2020,SG_DMK_PSRVC,,ES213,RO,1.2
2012,SG_DMK_PARLMP_LC,,,RO,0.99
2011,SG_DMK_PSRVC,,ES213,RO,1.1
2013,SG_DMK_PSRVC,,ES211,RO,1.19
2011,SG_DMK_PARLMP_LC,,,RO,0.91
2014,SG_DMK_PSRVC,,ES211,RO,1.2
2016,SG_DMK_PSRVC,,ES212,RO,1.19
2016,SG_DMK_PSRVC,,,RO,1.17
2021,SG_DMK_PSRVC,,,RO,1.23
2014,SG_DMK_PSRVC,,ES212,RO,1.17
2013,SG_DMK_PARLMP_LC,,,RO,0.99
2012,SG_DMK_PSRVC,,ES211,RO,1.18
2022,SG_DMK_PSRVC,,ES211,RO,1.27
2018,SG_DMK_PSRVC,,ES211,RO,1.22
2010,SG_DMK_PSRVC,,ES211,RO,1.16
2022,SG_DMK_PSRVC,,ES212,RO,1.23
2023,SG_DMK_PSRVC,,ES213,RO,1.29
2014,SG_DMK_PSRVC,,,RO,1.16
2015,SG_DMK_PARLMP_LC,,,RO,0.99
2020,SG_DMK_PSRVC,,,RO,1.22
