Year,Value,Units,Series,GeoCode
2011,0.0,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2020,-9.7,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2022,5.3,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2021,6.3,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2018,2.8,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2019,1.8,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2016,3.2,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2014,1.8,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2013,-1.6,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2012,-2.0,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2017,2.6,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2010,0.5,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2015,3.0,Euros constantes,Tasa de crecimiento anual del PIB real per cápita,
2017,3.2,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
2015,3.2,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
2020,-9.8,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
2022,10.5,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
2019,3.0,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
2021,9.0,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
2016,3.9,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
2018,4.0,Euros,Tasa de crecimiento anual del PIB nominal per cápita,
