Year,Value,Units,Series
2017,19.2,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2021,18.1,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2010,19.6,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2020,18.5,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2015,19.1,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2019,18.4,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2018,18.2,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2016,19.2,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2014,19.3,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2013,18.6,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2011,18.6,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2012,19.2,Kg por hectárea,EU_sdg_02_60_KG_PER_HA
2010,4.3,Kilotoneladas,EU_sdg_02_60_KT
2015,4.2,Kilotoneladas,EU_sdg_02_60_KT
2016,4.2,Kilotoneladas,EU_sdg_02_60_KT
2017,4.3,Kilotoneladas,EU_sdg_02_60_KT
2012,4.2,Kilotoneladas,EU_sdg_02_60_KT
2018,4.0,Kilotoneladas,EU_sdg_02_60_KT
2021,4.0,Kilotoneladas,EU_sdg_02_60_KT
2013,4.1,Kilotoneladas,EU_sdg_02_60_KT
2014,4.3,Kilotoneladas,EU_sdg_02_60_KT
2011,4.1,Kilotoneladas,EU_sdg_02_60_KT
2019,4.1,Kilotoneladas,EU_sdg_02_60_KT
2020,4.1,Kilotoneladas,EU_sdg_02_60_KT
