Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
BOOL_YES_NO,"Logika (1 = Bai, 0 = Ez)","Lógica (1=Sí, 0=No)",BOOL_YES_NO,6,5
CON_EUR,Euro konstanteak,Euros constantes,CON_EUR,16,2
EUR,Eurotan,Euros,EUR,5,1
EUR_1000000,Milioi eurotan,Millones de euros,EUR_1000000,4,4
EUR_PER_CAPITA,Euro per capita,Euro per cápita,EUR_PER_CAPITA,7,2
G_PER_GDP_EUR,Gramoa BPGaren euro bakoitzeko,Gramo por euro de PIB,G_PER_GDP_EUR,2,1
GPERM3,Mikrogramoak metro kubikoko,Microgramos por metro cúbico,GPERM3,2,1
HA,Hektareak,Hectáreas,HA,2,2
IX,Aurkibidea,Índice,IX,14,2
KG_CO2_PER_GDP_EUR,Kg CO2 baliokide BPGd-ko,Kg de $CO_2$ equivalente por euro de PIB,KG_CO2_PER_GDP_EUR,3,2
KG_PER_CAPITA,Kg per capita,Kg per cápita,KG_PER_CAPITA,8,2
KG_PER_GDP_1000_EUR,Kg BPGd-ko euro bakoitzeko,Kg por euro de PIB,KG_PER_GDP_1000_EUR,1,1
KG_PER_HA,Kg hektareako,Kg por hectárea,KG_PER_HA,3,1
KM2,Kilometro koadroak,Kilómetros cuadrados,KM2,7,1
KT,Kilotonelatuak,Kilotoneladas,KT,5,3
LICENCES,Lizentziak,Licencias,LICENCES,4,1
LITRES_PURE_ALCOHOL,Alkohol puruaren litroak,Litros de alcohol puro,LITRES_PURE_ALCOHOL,1,1
M3,M3,M3,M3,4,1
MJ_PER_GDP_CON_PPP_USD,PPAren USD konstantearen bidezko megajulioak (BPG),Megajulios por USD constante de PPA (PIB),MJ_PER_GDP_CON_PPP_USD,1,1
MN,Minutuak,Minutos,MN,12,1
ORGANISATIONS,Erakundeak,Organizaciones,ORGANISATIONS,4,1
PER_1000,1.000 biztanleko,Por 1.000,PER_1000,6,2
PER_10000,10.000 biztanleko,Por 10.000,PER_10000,550,2
PER_100000,100.000 biztanleko,Por 100.000,PER_100000,33,8
PER_1000000_POP,Milioi biztanleko,Por millón de habitantes,PER_1000000_POP,4,1
PER_100000_EMP,PER_100000_EMP,PER_100000_EMP,PER_100000_EMP,24,1
PER_100000_POP,100.000 biztanleko,Por 100.000 habitantes,PER_100000_POP,2580,7
PER_10000_POP,10.000 biztanleko,Por 10.000 habitantes,PER_10000_POP,48,1
PER_1000_LIVE_BIRTHS,Bizirik jaiotako 1.000 umeko,Por 1.000 nacidos vivos,PER_1000_LIVE_BIRTHS,24,2
PER_1000_POP,1.000 biztanleko,Por 1.000 habitantes,PER_1000_POP,2,1
PER_100_POP,100 pertsonako,Por 100 personas,PER_100_POP,20,1
PH,pH-a,pH,PH,1,1
PP,Ehuneko puntuak,Puntos porcentuales,PP,12,1
PT,%,%,PT,6122,97
RO,Ratioa,Ratio,RO,72,2
T_CO2_PER_CAPITA,Biztanle bakoitzeko CO2 baliokidearen tonak,Toneladas de CO2 equivalente per cápita,T_CO2_PER_CAPITA,1,1
T_MILLON_EUR,T_MILLON_EUR,T_MILLON_EUR,T_MILLON_EUR,1,1
T_PER_CAPITA,Tonak per capita,Toneladas per cápita,T_PER_CAPITA,2,2
TCO2E,CO2 tonak - baliokidea,Toneladas de $CO_2$ - equivalente,TCO2E,1,1
W_PER_CAPITA,Watts per capita,Watts per cápita,W_PER_CAPITA,2750,2
YR,Urteak,Años,YR,12,1
